source_ISO,target_ISO,value
OMN,SBA,52
SBA,GNB,9
SBA,MTQ,7
SBA,LCA,5
SBA,SOM,9
MLI,SBA,12
SBA,AFG,20
SBA,SXM,11
SBA,SWZ,5
SBA,SLE,6
BIH,SBA,31
JAM,SBA,33
AGO,SBA,11
BTN,SBA,10
MDV,SBA,7
PRY,SBA,29
GLP,SBA,6
SBA,MLT,33
XKS,SBA,7
MDA,SBA,16
CAF,SBA,1
SBA,ABW,2
CPV,SBA,3
GUF,SBA,5
MOZ,SBA,18
SBA,TTO,17
SBA,VGB,15
SBA,JEY,9
SBA,REU,5
LBY,SBA,16
SLE,SBA,9
PYF,SBA,3
ERI,SBA,1
SBA,SLV,11
SBA,AND,2
BLZ,SBA,5
BHR,SBA,25
SBA,HND,12
SBA,ALB,12
SBA,LAO,13
SBA,CUW,6
SBA,GMB,9
SBA,KGZ,7
SBA,BWA,14
SBA,MDV,3
KGZ,SBA,12
MLT,SBA,19
TGO,SBA,6
BFA,SBA,9
CUW,SBA,4
SYC,SBA,2
SXM,SBA,10
SBA,TCD,3
SBA,TON,1
ALB,SBA,11
COG,SBA,4
SBA,HTI,12
SBA,PRK,4
GRL,SBA,4
BMU,SBA,6
FJI,SBA,16
MUS,SBA,3
NIU,SBA,2
TLS,SBA,3
NAM,SBA,8
LSO,SBA,2
SBA,MLI,9
SBA,CAF,2
GIB,SBA,2
SBA,BMU,3
SBA,GIN,1
SBA,CPV,2
SBA,PNG,5
TCD,SBA,2
SBA,BTN,8
SBA,ERI,2
SBA,GIB,1
SWZ,SBA,3
BRN,SBA,8
DJI,SBA,2
SBA,KIR,1
SBA,WSM,1
LCA,SBA,4
SBA,SMR,1
VCT,SBA,2
TKM,SBA,1
SBA,VAT,2
GIN,SBA,5
SBA,MSR,2
SBA,GLP,2
GAB,SBA,2
DMA,SBA,3
SBA,SYC,2
SBA,BLZ,4
SBA,PLW,1
SBA,GNQ,1
GNQ,SBA,1
SBA,VUT,2
SBA,XKS,2
ABW,SBA,1
SBA,DMA,1
PRK,SBA,1
FRO,SBA,1
JEY,SBA,4
SBA,PYF,4
MCO,SBA,1
LBR,SBA,3
GUY,SBA,5
PLW,SBA,1
SBA,GRL,1
SBA,ASM,1
REU,SBA,2
SBA,FSM,1
SBA,GUF,1
SBA,LSO,1
SBA,MCO,1
VUT,SBA,1
ASM,SBA,1
SBA,IMN,1
VAT,SBA,1
GBA,CHN,272346
GBA,USA,58168
GBA,CHE,1646
GBA,PHL,668
CHN,GBA,300217
USA,GBA,67452
GBA,FRA,3402
GBA,GBR,13361
POL,GBA,961
IND,GBA,3523
ESP,GBA,1651
MAC,GBA,2310
JPN,GBA,6641
SGP,GBA,4964
FRA,GBA,4144
GBA,DEU,6217
GBA,SGP,4532
AUS,GBA,7591
SWE,GBA,1860
PAK,GBA,1680
CAN,GBA,8412
TWN,GBA,7668
GBR,GBA,14263
ITA,GBA,2036
GBA,IND,3241
BGD,GBA,684
KOR,GBA,3396
GBA,BEL,1109
GBA,CAN,7334
GBA,SWE,1688
GBA,KOR,3278
GBA,JPN,5631
GBA,MAC,2681
MWI,GBA,57
NZL,GBA,832
GBA,SAU,561
GBA,MNG,611
GBA,TWN,6179
GBA,AUS,6867
GBA,PAK,1467
GBA,UAR,282
GBA,SCG,4532
SCG,GBA,4964
GBA,IRN,317
ISR,GBA,703
BRA,GBA,857
GBA,ARE,214
CHE,GBA,1946
RUS,GBA,1624
DEU,GBA,6935
FIN,GBA,584
GBA,ISR,513
NLD,GBA,2727
GBA,SVN,84
GBA,NLD,2377
GBA,ITA,1725
GBA,MEX,763
SRB,GBA,85
MAR,GBA,60
GBA,BRA,774
GBA,COL,76
GBA,CZE,1282
GBA,ESP,1460
GBA,PRT,303
IRN,GBA,441
GBA,IDN,367
EGY,GBA,358
GBA,NZL,726
MEX,GBA,849
GBA,NPL,299
GBA,DNK,1005
ECU,GBA,35
GBA,UKR,282
SVN,GBA,94
GBA,SSD,1257
GBA,NOR,799
UKR,GBA,223
VNM,GBA,452
TUN,GBA,91
GRC,GBA,399
GBA,IRL,529
MYS,GBA,1262
SAU,GBA,619
NOR,GBA,855
GBA,YEM,235
GBA,PAN,90
GBA,BGD,608
GHA,GBA,97
VGB,GBA,65
GBA,POL,828
IDN,GBA,452
ARE,GBA,224
GBA,NGA,499
NGA,GBA,545
GBA,HUN,201
GBA,KGZ,10
IRL,GBA,536
NPL,GBA,335
BEL,GBA,1218
DNK,GBA,926
SSD,GBA,1050
CZE,GBA,1440
GBA,FIN,609
AUT,GBA,560
GBA,MYS,1615
UGA,GBA,54
GBA,EGY,260
GBA,BLR,104
GBA,GRC,373
RWA,GBA,52
PHL,GBA,535
THA,GBA,704
MMR,GBA,56
GBA,SRB,81
GBA,ZAF,252
GBA,RUS,1367
GBA,BGR,239
URY,GBA,18
MNG,GBA,609
GBA,HRV,88
GBA,SVK,228
GBA,THA,801
CHL,GBA,233
PRT,GBA,337
GBA,KHM,47
GBA,CHL,170
GBA,AUT,452
GBA,VNM,410
GBA,NER,5
ARM,GBA,188
TJK,GBA,55
RHO,GBA,206
NIC,GBA,11
BLR,GBA,110
LUX,GBA,58
BGR,GBA,270
HRV,GBA,115
SVK,GBA,301
ZAF,GBA,295
ZAI,GBA,295
GBA,RHO,154
YEM,GBA,223
GBA,TUR,239
GBA,MNE,32
GBA,LIE,136
HUN,GBA,276
CYP,GBA,65
GBA,OMN,36
LKA,GBA,89
GBA,IRQ,44
LVA,GBA,52
GBA,PER,40
KAZ,GBA,75
GBA,KNA,12
TUR,GBA,366
ETH,GBA,133
GBA,CYP,70
CMR,GBA,47
GBA,JOR,44
GBA,MAR,94
GBA,BWA,132
GBA,QAT,91
QAT,GBA,145
LBN,GBA,217
CIV,GBA,8
PER,GBA,42
GBA,UGA,32
GBA,ZAI,252
GBA,UZB,42
GBA,LAO,5
GBA,LUX,59
JOR,GBA,48
GBA,TUN,126
COL,GBA,80
GBA,MDA,37
GAB,GBA,3
KEN,GBA,75
UAR,GBA,223
BWA,GBA,63
ROU,GBA,206
GBA,ECU,21
GBA,LBN,262
BRN,GBA,18
GBA,KEN,69
GBA,BRN,22
GBA,ROU,154
MKD,GBA,61
GBA,CUB,32
GBA,ARG,89
GBA,KAZ,69
TZA,GBA,54
GBA,LKA,77
GBA,AZE,43
LAO,GBA,10
KGZ,GBA,3
GBA,ARM,161
LIE,GBA,104
PAN,GBA,67
GBA,LTU,23
ISL,GBA,21
GBA,DZA,27
GBA,PRI,41
ARG,GBA,105
KWT,GBA,23
MDA,GBA,47
GBA,ISL,31
VEN,GBA,17
GBA,ETH,114
GBA,GHA,65
MUS,GBA,6
MLT,GBA,16
GBA,RWA,58
GBA,GTM,9
GBA,VGB,38
GBA,GIN,11
VIR,GBA,2
NER,GBA,5
ANZ,GBA,38
GBA,TZA,38
GBA,DOM,14
KHM,GBA,48
KNA,GBA,10
CYM,GBA,68
LTU,GBA,20
GBA,SYR,5
ZWE,GBA,27
GBA,ANZ,43
MNE,GBA,23
FJI,GBA,23
GBA,MMR,43
CUB,GBA,35
GBA,MWI,35
TTO,GBA,5
GBA,URY,12
GBA,CYM,87
GBA,LVA,49
EST,GBA,39
GBA,CIV,8
ALB,GBA,21
GBA,CRI,14
MLI,GBA,10
GBA,ZMB,31
GBA,LBR,4
